step,action,platform_id,task_id,task_geometry,task_stage,risk,score,path_length,energy_cost,reward,completed_count,late_count,risk_exposure_sum,total_path_length,total_energy,accepted_actions,conflicts,review_queue_length,valid_action_count
1,"[0, 0, 0, 0, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4,A010;A010;A010;A010,point;point;point;point,screening;screening;screening;screening,12,203.51361344537816,36,0.3333333333333333,-12.090416666666666,0,0,390.0,0,0.020833333333333332,"[{""platform_id"": ""UAV-3"", ""task_id"": ""A010"", ""stage"": ""screening"", ""score"": 41.9203164556962}]","[{""task_id"": ""A010"", ""stage"": ""screening"", ""loser"": ""UAV-1"", ""winner"": ""UAV-3""}, {""task_id"": ""A010"", ""stage"": ""screening"", ""loser"": ""UAV-2"", ""winner"": ""UAV-3""}, {""task_id"": ""A010"", ""stage"": ""screening"", ""loser"": ""UAV-4"", ""winner"": ""UAV-3""}]",0,44
2,"[1, 1, 1, 1, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4,A011;A011;A011;A011,point;point;point;point,screening;screening;screening;screening,12,203.23389830508472,40,0.35185185185185186,-12.101412037037036,0,0,780.0,9,0.0636574074074074,"[{""platform_id"": ""UAV-1"", ""task_id"": ""A011"", ""stage"": ""screening"", ""score"": 41.90886524822695}]","[{""task_id"": ""A011"", ""stage"": ""screening"", ""loser"": ""UAV-2"", ""winner"": ""UAV-1""}, {""task_id"": ""A011"", ""stage"": ""screening"", ""loser"": ""UAV-4"", ""winner"": ""UAV-1""}]",0,32
3,"[1, 1, 0, 1, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4,A009;A009;A009;A009,point;point;point;point,screening;screening;screening;screening,12,203.4440064911648,37,0.3379629629629629,-12.11298611111111,0,0,1170.0,19,0.12962962962962962,"[{""platform_id"": ""UAV-4"", ""task_id"": ""A009"", ""stage"": ""screening"", ""score"": 41.8973076923077}]","[{""task_id"": ""A009"", ""stage"": ""screening"", ""loser"": ""UAV-2"", ""winner"": ""UAV-4""}]",0,20
4,"[0, 0, 0, 0, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4,A020;E012;A018;E012,point;point;point;point,screening;screening;screening;screening,12,202.76187662578965,47,0.35648148148148145,-3.126875,0,0,1560.0,30,0.22337962962962962,"[{""platform_id"": ""UAV-2"", ""task_id"": ""E012"", ""stage"": ""screening"", ""score"": 41.91263157894737}]",[],1,25
5,"[0, 0, 0, 0, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4;USV-1;USV-2;USV-3;USV-4,A020;A014;A018;A018;A010;A010;A010;A010,point;point;point;point;point;point;point;point,screening;screening;screening;screening;review;review;review;review,24,406.1831958224601,88,0.5532407407407408,-2.130268308080808,0,0,1950.0,42,0.3239162457912458,"[{""platform_id"": ""UAV-3"", ""task_id"": ""A018"", ""stage"": ""screening"", ""score"": 41.885862068965515}, {""platform_id"": ""USV-1"", ""task_id"": ""A010"", ""stage"": ""review"", ""score"": 42.02073532611401}]","[{""task_id"": ""A010"", ""stage"": ""review"", ""loser"": ""USV-2"", ""winner"": ""USV-1""}, {""task_id"": ""A010"", ""stage"": ""review"", ""loser"": ""USV-3"", ""winner"": ""USV-1""}, {""task_id"": ""A010"", ""stage"": ""review"", ""loser"": ""USV-4"", ""winner"": ""USV-1""}]",1,24
6,"[0, 1, 0, 0, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4;USV-1;USV-2;USV-3;USV-4,A020;A014;A020;B049;A011;A011;A011;A011,point;point;point;point;point;point;point;point,screening;screening;screening;screening;review;review;review;review,24,406.1814915134291,104,0.6342592592592593,6.867513327721664,0,0,2340.0,54,0.4288895903479237,"[{""platform_id"": ""UAV-1"", ""task_id"": ""A020"", ""stage"": ""screening"", ""score"": 41.89764069264069}, {""platform_id"": ""USV-4"", ""task_id"": ""A011"", ""stage"": ""review"", ""score"": 41.96325287861114}]","[{""task_id"": ""A011"", ""stage"": ""review"", ""loser"": ""USV-2"", ""winner"": ""USV-4""}, {""task_id"": ""A011"", ""stage"": ""review"", ""loser"": ""USV-3"", ""winner"": ""USV-4""}]",2,38
7,"[0, 1, 0, 0, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4;USV-1;USV-2;USV-3;USV-4,A014;A014;B049;B049;A009;A009;A009;A009,point;point;point;point;point;point;point;point,screening;screening;screening;screening;review;review;review;review,24,405.5978558055618,102,0.6319444444444444,-10.132458055062223,0,0,2730.0,65,0.5338057004723671,"[{""platform_id"": ""UAV-2"", ""task_id"": ""A014"", ""stage"": ""screening"", ""score"": 41.699765051395005}, {""platform_id"": ""UAV-4"", ""task_id"": ""B049"", ""stage"": ""screening"", ""score"": 41.874534206695785}, {""platform_id"": ""USV-2"", ""task_id"": ""A009"", ""stage"": ""review"", ""score"": 41.90495402650061}]","[{""task_id"": ""A009"", ""stage"": ""review"", ""loser"": ""USV-3"", ""winner"": ""USV-2""}]",1,9
8,"[0, 0, 0, 0, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4;USV-1;USV-2;USV-3;USV-4,B055;E011;B053;A017;E012;E012;E012;E012,point;point;point;point;point;point;point;point,screening;screening;screening;screening;review;review;review;review,24,405.70835496001445,104,0.6203703703703703,-3.1341941661733337,0,0,3120.0,65,0.6421940328190326,"[{""platform_id"": ""USV-3"", ""task_id"": ""E012"", ""stage"": ""review"", ""score"": 42.34672986459514}]",[],1,21
9,"[0, 0, 0, 0, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4;USV-1;USV-2;USV-3;USV-4,B055;E011;B053;A017;A018;A018;A018;A018,point;point;point;point;point;point;point;point,screening;screening;screening;screening;review;review;review;review,24,402.4932719035952,140,0.7245370370370372,-3.1336154624696295,0,0,3510.0,78,0.7494249577582908,"[{""platform_id"": ""UAV-3"", ""task_id"": ""B053"", ""stage"": ""screening"", ""score"": 41.93298245614035}]",[],2,21
10,"[0, 0, 0, 0, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4;USV-1;USV-2;USV-3;USV-4,B055;E011;A017;A017;A018;A018;A018;A018,point;point;point;point;point;point;point;point,screening;screening;screening;screening;review;review;review;review,24,403.99402573178673,130,0.6643518518518519,-12.135158672346172,0,0,3900.0,91,0.8597423024506353,"[{""platform_id"": ""UAV-1"", ""task_id"": ""B055"", ""stage"": ""screening"", ""score"": 41.967982456140355}]",[],2,8
