step,action,platform_id,task_id,task_geometry,task_stage,risk,score,path_length,energy_cost,reward,completed_count,late_count,risk_exposure_sum,total_path_length,total_energy,accepted_actions,conflicts,review_queue_length,valid_action_count
1,"[3, 3, 3, 3, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4,A009;A009;A009;A009,point;point;point;point,screening;screening;screening;screening,12,202.9537552742616,44,0.37037037037037035,-12.091574074074074,0,0,390.0,0,0.023148148148148147,"[{""platform_id"": ""UAV-3"", ""task_id"": ""A009"", ""stage"": ""screening"", ""score"": 41.89709039548023}]","[{""task_id"": ""A009"", ""stage"": ""screening"", ""loser"": ""UAV-1"", ""winner"": ""UAV-3""}, {""task_id"": ""A009"", ""stage"": ""screening"", ""loser"": ""UAV-2"", ""winner"": ""UAV-3""}, {""task_id"": ""A009"", ""stage"": ""screening"", ""loser"": ""UAV-4"", ""winner"": ""UAV-3""}]",0,44
2,"[0, 0, 0, 0, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4,A010;A010;A010;A010,point;point;point;point,screening;screening;screening;screening,12,203.5137552742616,36,0.3333333333333333,-12.10199074074074,0,0,780.0,11,0.06712962962962962,"[{""platform_id"": ""UAV-1"", ""task_id"": ""A010"", ""stage"": ""screening"", ""score"": 41.92042372881356}]","[{""task_id"": ""A010"", ""stage"": ""screening"", ""loser"": ""UAV-2"", ""winner"": ""UAV-1""}, {""task_id"": ""A010"", ""stage"": ""screening"", ""loser"": ""UAV-4"", ""winner"": ""UAV-1""}]",0,32
3,"[1, 1, 0, 1, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4,A011;A011;A011;A011,point;point;point;point,screening;screening;screening;screening,12,203.37400649116478,38,0.3425925925925926,-12.11298611111111,0,0,1170.0,20,0.13310185185185186,"[{""platform_id"": ""UAV-4"", ""task_id"": ""A011"", ""stage"": ""screening"", ""score"": 41.90897435897436}]","[{""task_id"": ""A011"", ""stage"": ""screening"", ""loser"": ""UAV-2"", ""winner"": ""UAV-4""}]",0,20
4,"[2, 1, 7, 1, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4,A014;A014;A014;A014,point;point;point;point,screening;screening;screening;screening,12,200.9943347639485,72,0.5,-3.125486111111112,0,0,1560.0,30,0.2240740740740741,"[{""platform_id"": ""UAV-2"", ""task_id"": ""A014"", ""stage"": ""screening"", ""score"": 41.815862068965515}]",[],1,25
5,"[7, 1, 9, 2, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4;USV-1;USV-2;USV-3;USV-4,A015;A015;A015;A015;A009;A009;A009;A009,point;point;point;point;point;point;point;point,screening;screening;screening;screening;review;review;review;review,24,403.9945107521324,125,0.710648148148148,-2.12826834045584,0,0,1950.0,30,0.32061075498575503,"[{""platform_id"": ""UAV-3"", ""task_id"": ""A015"", ""stage"": ""screening"", ""score"": 41.74608695652174}, {""platform_id"": ""USV-1"", ""task_id"": ""A009"", ""stage"": ""review"", ""score"": 41.904957140711986}]","[{""task_id"": ""A009"", ""stage"": ""review"", ""loser"": ""USV-2"", ""winner"": ""USV-1""}, {""task_id"": ""A009"", ""stage"": ""review"", ""loser"": ""USV-3"", ""winner"": ""USV-1""}, {""task_id"": ""A009"", ""stage"": ""review"", ""loser"": ""USV-4"", ""winner"": ""USV-1""}]",1,24
6,"[3, 5, 2, 11, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4;USV-1;USV-2;USV-3;USV-4,A017;A017;A017;A017;A010;A010;A010;A010,point;point;point;point;point;point;point;point,screening;screening;screening;screening;review;review;review;review,24,405.1507866775991,113,0.6689814814814816,-2.1315459077959087,0,0,2340.0,48,0.42370257057757066,"[{""platform_id"": ""UAV-1"", ""task_id"": ""A017"", ""stage"": ""screening"", ""score"": 41.82775362318841}, {""platform_id"": ""USV-4"", ""task_id"": ""A010"", ""stage"": ""review"", ""score"": 42.021049889466795}]","[{""task_id"": ""A010"", ""stage"": ""review"", ""loser"": ""USV-2"", ""winner"": ""USV-4""}, {""task_id"": ""A010"", ""stage"": ""review"", ""loser"": ""USV-3"", ""winner"": ""USV-4""}]",1,23
7,"[0, 4, 0, 1, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4;USV-1;USV-2;USV-3;USV-4,A018;A016;A018;A018;A011;A011;A011;A011,point;point;point;point;point;point;point;point,screening;screening;screening;screening;review;review;review;review,24,405.4575157696813,96,0.5833333333333334,-11.132838346067512,0,0,2730.0,48,0.529379262712596,"[{""platform_id"": ""UAV-4"", ""task_id"": ""A018"", ""stage"": ""screening"", ""score"": 41.862753623188404}, {""platform_id"": ""USV-2"", ""task_id"": ""A011"", ""stage"": ""review"", ""score"": 41.9626798020662}]","[{""task_id"": ""A011"", ""stage"": ""review"", ""loser"": ""USV-3"", ""winner"": ""USV-2""}]",0,8
8,"[0, 4, 1, 0, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4,A020;A016;A020;A020,point;point;point;point,screening;screening;screening;screening,12,202.11482058097587,56,0.42592592592592593,-4.132838346067512,0,0,3120.0,89,0.6350559548476213,[],[],1,22
9,"[2, 4, 5, 0, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4;USV-1;USV-2;USV-3;USV-4,A020;A016;A013;A020;A014;A014;A014;A014,point;point;point;point;point;point;point;point,screening;screening;screening;screening;review;review;review;review,24,402.91856463876667,141,0.7361111111111112,-11.132876926314427,0,0,3510.0,103,0.7408098074764738,"[{""platform_id"": ""UAV-2"", ""task_id"": ""A016"", ""stage"": ""screening"", ""score"": 41.80476505139501}, {""platform_id"": ""USV-3"", ""task_id"": ""A014"", ""stage"": ""review"", ""score"": 41.4985286367643}]",[],0,8
10,"[2, 1, 4, 2, 0, 0, 0, 0]",UAV-1;UAV-2;UAV-3;UAV-4,A020;A020;A013;A020,point;point;point;point,screening;screening;screening;screening,12,201.55516534251583,64,0.46296296296296297,4.867123073685576,0,0,3900.0,103,0.8465636601053262,[],[],2,34
