episode,steps,episode_reward,completed_tasks,risk_exposure_sum,late_tasks,total_path_length,total_energy,total_conflicts,total_invalid_actions,total_replenishments,total_returns
1,240,3679.2437661954514,81,56640.0,2,3155,18.11246760909765,6,0,23,24
2,480,3603.1771915199006,67,60240.0,2,3280,18.24561696020047,5,0,24,24
3,720,3641.5661301869,82,57120.0,1,3361,19.467739626200423,4,0,22,24
4,960,4379.374433084705,77,53040.0,2,3158,17.85113383058995,4,0,20,23
5,1200,3576.0368160774406,66,60720.0,2,2999,17.52636784511786,2,0,22,21
6,1440,3741.0692212301587,67,59280.0,1,3085,17.461557539682453,6,0,20,24
7,1680,3366.0049148032563,63,62640.0,1,3023,17.590170393487274,4,0,22,24
8,1920,3571.680433384774,67,60720.0,2,3212,18.239133230452683,4,1,21,22
9,2160,4231.062731481482,79,54240.0,1,2997,17.474537037037038,6,0,20,22
10,2400,4207.796159511784,85,52800.0,1,3077,18.007680976431047,4,0,21,21
11,2640,4235.923505629116,72,55440.0,1,2592,15.75298874176853,3,0,17,19
12,2880,3992.823958268872,71,57360.0,1,2447,14.952083462256578,6,0,17,19
13,3120,3792.354869186047,79,57120.0,1,3074,17.89026162790697,6,0,20,21
14,3360,4334.592472718255,68,55680.0,1,2499,14.415054563492143,5,0,15,16
15,3600,3756.8969907407404,51,62160.0,1,1754,9.80601851851853,5,0,7,5
16,3840,3714.1107894199336,50,62160.0,1,1470,8.378421160130765,8,0,8,8
17,4080,4111.7991319444445,64,57600.0,1,2059,12.001736111111166,5,0,10,10
18,4320,4182.348927888339,69,56160.0,1,2348,13.902144223322527,10,0,15,15
19,4560,3809.828452932099,58,60720.0,2,2259,12.943094135802527,7,0,14,14
20,4800,4326.267881944445,68,55440.0,1,2388,14.064236111111217,3,0,14,15
21,5040,4175.104870592177,70,56160.0,0,2374,14.39025881564465,3,0,16,15
22,5280,3743.0673335537917,74,57840.0,2,2780,16.46533289241631,4,0,18,18
23,5520,4638.103153262274,84,49920.0,1,2931,17.39369347545227,8,0,20,21
24,5760,4155.254957561729,73,56160.0,1,3162,18.09008487654324,8,0,20,20
25,6000,3924.6704895152507,84,55440.0,1,3006,18.25902096949899,7,0,22,23
26,6240,3993.792456092861,79,55440.0,2,3075,18.01508781427773,4,1,22,21
27,6480,3658.4151981258215,71,59520.0,1,3229,18.769603748357646,4,0,24,23
28,6720,3591.1827706876074,76,58560.0,1,3299,19.234458624785354,6,0,25,25
29,6960,3955.6895254629626,72,56880.0,3,3180,18.220949074074202,6,0,24,25
30,7200,3350.0872395833326,58,63600.0,1,2996,17.425520833333373,3,0,24,27
