episode,steps,episode_reward,completed_tasks,risk_exposure_sum,late_tasks,total_path_length,total_energy,total_conflicts,total_invalid_actions
1,240,3675.0291173066453,66,59760.0,3,3318,18.54176538671023,5,0
2,480,3023.521060457927,52,66720.0,3,2955,16.557879084147356,4,0
3,720,3631.1015046296293,66,60240.0,1,3117,17.396990740740698,5,0
4,960,3421.5102365507464,61,62400.0,3,3177,17.579526898507208,3,0
5,1200,3740.339139660494,68,59280.0,1,3200,17.92172067901229,3,0
6,1440,4168.539470415537,84,53280.0,1,3257,18.521059168924978,3,0
7,1680,3475.602629484954,64,61200.0,1,3401,18.39474103009256,3,0
8,1920,3339.4977386039886,65,62160.0,2,3128,17.604522792022905,3,0
9,2160,3261.2044488847287,55,64800.0,1,3291,18.191102230542608,3,0
10,2400,3099.8462426320434,56,66000.0,2,3184,17.907514735913985,3,0
11,2640,3302.9265261711207,58,64320.0,2,3151,17.746947657759456,6,0
12,2880,3859.383622685184,75,57120.0,1,3177,17.832754629629697,3,0
13,3120,3755.83900462963,69,59280.0,1,3181,17.92199074074075,6,0
14,3360,3612.2175347222214,73,58560.0,2,3303,18.164930555555713,6,0
15,3600,4136.687152777778,74,55680.0,1,3062,17.225694444444485,9,0
16,3840,3684.253717482363,64,60000.0,1,3073,17.092565035273502,3,0
17,4080,4067.8433829811556,81,54480.0,1,3095,17.91323403768905,7,0
18,4320,3537.616862535613,63,60960.0,3,3161,17.366274928774946,4,0
19,4560,3741.7684082892415,65,59760.0,2,3280,18.063183421516786,3,0
20,4800,3394.316792385058,65,61680.0,1,3036,16.966415229885186,3,0
