seed,obstacle_ratio,obstacles,free_cells,total_reward,coverage_ratio,completed,steps,path_length,coverage_auc,coverage_at_100,coverage_at_200,coverage_at_300,coverage_at_400,coverage_at_500,t90,t95,t99,repeat_ratio,repeat_ratio_after_90,inter_agent_overlap_ratio,stalled,stall_coverage,stall_termination_coverage,cir_beta,intent_conflict_rate,intent_conflict_nonzero,attention_entropy
20261001,0.05,20,380,81.85624943301082,1.0,1,169,668,0.8808526315789473,0.8078947368421052,1.0,1.0,1.0,1.0,125,135,147,0.4411764705882353,0.7840909090909091,0.2868421052631579,0,,1.0,0.7587218880653381,0.8205128312110901,0.8205128312110901,0.1793590784072876
20261002,0.05,20,380,-376.1937459856272,1.0,1,499,499,0.5865947368421053,0.2657894736842105,0.5184210526315789,0.7315789473684211,0.8842105263157894,1.0,410,446,496,0.81,0.8932584269662921,0.002631578947368421,0,,1.0,0.7587220072746277,1.0,1.0,0.7941614389419556
20261003,0.05,20,380,53.681249156594276,1.0,1,170,572,0.8510157894736842,0.6710526315789473,1.0,1.0,1.0,1.0,132,146,163,0.4444444444444444,0.75,0.27631578947368424,0,,1.0,0.7587219476699829,0.8126984238624573,0.8126984238624573,0.3464362919330597
20261004,0.05,20,380,84.06874926760793,1.0,1,149,586,0.8891842105263158,0.868421052631579,1.0,1.0,1.0,1.0,110,130,148,0.36666666666666664,0.7564102564102564,0.2736842105263158,0,,1.0,0.7587218880653381,0.8295454382896423,0.8295454382896423,0.22738949954509735
20261005,0.05,20,380,83.21874921023846,1.0,1,144,566,0.8872368421052631,0.8473684210526315,1.0,1.0,1.0,1.0,114,124,134,0.3448275862068966,0.6916666666666667,0.30526315789473685,0,,1.0,0.7587219476699829,0.6960352659225464,0.6960352659225464,0.3364541828632355
20261006,0.05,20,380,84.59374906122684,1.0,1,153,606,0.8888842105263157,0.8552631578947368,1.0,1.0,1.0,1.0,116,136,146,0.38311688311688313,0.7432432432432432,0.35789473684210527,0,,1.0,0.7587219476699829,0.7894737124443054,0.7894737124443054,0.31739136576652527
20261007,0.05,20,380,83.1562490426004,1.0,1,173,686,0.8933210526315789,0.9078947368421053,1.0,1.0,1.0,1.0,98,107,157,0.4540229885057471,0.8733333333333333,0.4,0,,1.0,0.7587218284606934,0.8384615182876587,0.8384615182876587,0.29511234164237976
20261008,0.05,20,380,86.63124915212393,1.0,1,144,572,0.8862052631578947,0.8473684210526315,1.0,1.0,1.0,1.0,115,135,142,0.3448275862068966,0.6810344827586207,0.25526315789473686,0,,1.0,0.7587219476699829,0.6354680061340332,0.6354680061340332,0.26625367999076843
20261009,0.05,20,380,85.26874916255474,1.0,1,152,604,0.8884368421052632,0.8552631578947368,1.0,1.0,1.0,1.0,109,122,133,0.3790849673202614,0.7790697674418605,0.3263157894736842,0,,1.0,0.7587218880653381,0.7803921699523926,0.7803921699523926,0.3323107361793518
20261010,0.05,20,380,77.88124921545386,1.0,1,170,664,0.8747894736842106,0.7578947368421053,1.0,1.0,1.0,1.0,140,156,168,0.4444444444444444,0.6833333333333333,0.45526315789473687,0,,1.0,0.7587219476699829,0.8253968358039856,0.8253968358039856,0.23331108689308167
20261011,0.05,20,380,84.30624905973673,1.0,1,148,586,0.8885210526315789,0.8789473684210526,1.0,1.0,1.0,1.0,103,126,137,0.3624161073825503,0.7944444444444444,0.3078947368421053,0,,1.0,0.7587218880653381,0.8219178318977356,0.8219178318977356,0.2757895290851593
20261012,0.05,20,380,81.35624913871288,1.0,1,158,620,0.8797263157894737,0.8,1.0,1.0,1.0,1.0,126,144,151,0.4025157232704403,0.703125,0.36578947368421055,0,,1.0,0.7587218284606934,0.698924720287323,0.698924720287323,0.33713090419769287
20261013,0.05,20,380,85.81874938309193,1.0,1,143,566,0.8918105263157895,0.8605263157894737,1.0,1.0,1.0,1.0,106,113,125,0.3402777777777778,0.7432432432432432,0.37105263157894736,0,,1.0,0.7587218284606934,0.7151162624359131,0.7151162624359131,0.26416221261024475
20261014,0.05,20,380,-149.36875008046627,1.0,1,369,738,0.7612421052631578,0.5078947368421053,0.8447368421052631,0.8973684210526316,1.0,1.0,301,333,358,0.7432432432432432,0.8639705882352942,0.5789473684210527,0,,1.0,0.7587218880653381,0.9814385175704956,0.9814385175704956,0.3433040976524353
20261015,0.05,20,380,83.9437491223216,1.0,1,172,684,0.8906368421052632,0.8921052631578947,1.0,1.0,1.0,1.0,101,115,167,0.4508670520231214,0.8661971830985915,0.23157894736842105,0,,1.0,0.7587218880653381,0.738095223903656,0.738095223903656,0.23622818291187286
20261016,0.05,20,380,81.65624902769923,1.0,1,164,644,0.8932526315789473,0.9131578947368421,1.0,1.0,1.0,1.0,98,110,130,0.42424242424242425,0.8560606060606061,0.4763157894736842,0,,1.0,0.7587218880653381,0.8771929740905762,0.8771929740905762,0.21600370109081268
20261017,0.05,20,380,81.56874892115593,1.0,1,162,644,0.886378947368421,0.8631578947368421,1.0,1.0,1.0,1.0,108,125,136,0.4171779141104294,0.8287037037037037,0.3631578947368421,0,,1.0,0.7587218880653381,0.79347825050354,0.79347825050354,0.23361389338970184
20261018,0.05,20,380,83.64374912902713,1.0,1,151,594,0.8849684210526316,0.8342105263157895,1.0,1.0,1.0,1.0,111,120,148,0.375,0.7625,0.35,0,,1.0,0.7587218880653381,0.7244898080825806,0.7244898080825806,0.26871535181999207
20261019,0.05,20,380,82.29374943301082,1.0,1,159,628,0.8850157894736842,0.8421052631578947,1.0,1.0,1.0,1.0,115,130,150,0.40625,0.7897727272727273,0.3631578947368421,0,,1.0,0.7587218880653381,0.8169642686843872,0.8169642686843872,0.2716757357120514
20261020,0.05,20,380,86.5812491425313,1.0,1,140,556,0.892678947368421,0.8894736842105263,1.0,1.0,1.0,1.0,104,117,130,0.3262411347517731,0.7430555555555556,0.25,0,,1.0,0.7587219476699829,0.6534653306007385,0.6534653306007385,0.2870516777038574
