seed,obstacle_ratio,obstacles,free_cells,total_reward,coverage_ratio,completed,steps,path_length,coverage_auc,coverage_at_100,coverage_at_200,coverage_at_300,coverage_at_400,coverage_at_500,t90,t95,t99,repeat_ratio,repeat_ratio_after_90,inter_agent_overlap_ratio,stalled,stall_coverage,stall_termination_coverage,cir_beta,intent_conflict_rate,intent_conflict_nonzero,attention_entropy
20261001,0.05,20,380,83.55624917149544,1.0,1,159,632,0.8877263157894737,0.8605263157894737,1.0,1.0,1.0,1.0,121,133,156,0.40625,0.75,0.39473684210526316,0,,1.0,0.7616553902626038,0.7869822382926941,0.7869822382926941,0.21907661855220795
20261002,0.05,20,380,-358.868746355176,1.0,1,481,481,0.5867526315789474,0.2657894736842105,0.5210526315789473,0.7052631578947368,0.9105263157894737,1.0,393,427,472,0.8029045643153527,0.8920454545454546,0.002631578947368421,0,,1.0,0.7616555094718933,1.0,1.0,0.7963456511497498
20261003,0.05,20,380,56.25624907389283,1.0,1,181,628,0.8562526315789474,0.7210526315789474,1.0,1.0,1.0,1.0,129,136,148,0.47802197802197804,0.8173076923076923,0.31842105263157894,0,,1.0,0.7616554498672485,0.81640625,0.81640625,0.29035326838493347
20261004,0.05,20,380,84.73124925792217,1.0,1,145,576,0.8879105263157894,0.8263157894736842,1.0,1.0,1.0,1.0,110,121,142,0.3493150684931507,0.7285714285714285,0.2631578947368421,0,,1.0,0.7616553902626038,0.7305389046669006,0.7305389046669006,0.22566862404346466
20261005,0.05,20,380,87.49374903738499,1.0,1,132,524,0.8914157894736842,0.881578947368421,1.0,1.0,1.0,1.0,104,114,123,0.2857142857142857,0.6607142857142857,0.2578947368421053,0,,1.0,0.761655330657959,0.6944444179534912,0.6944444179534912,0.20636382699012756
20261006,0.05,20,380,85.63124923035502,1.0,1,154,612,0.8865736842105264,0.8026315789473685,1.0,1.0,1.0,1.0,115,123,152,0.3870967741935484,0.7564102564102564,0.28421052631578947,0,,1.0,0.761655330657959,0.7584540843963623,0.7584540843963623,0.26207777857780457
20261007,0.05,20,380,85.46874905005097,1.0,1,150,596,0.8935263157894737,0.9052631578947369,1.0,1.0,1.0,1.0,99,114,124,0.3708609271523179,0.8186274509803921,0.29736842105263156,0,,1.0,0.761655330657959,0.8167330622673035,0.8167330622673035,0.31769734621047974
20261008,0.05,20,380,83.9187489040196,1.0,1,161,640,0.891678947368421,0.9157894736842105,1.0,1.0,1.0,1.0,98,121,156,0.41358024691358025,0.8492063492063492,0.3815789473684211,0,,1.0,0.761655330657959,0.7955800890922546,0.7955800890922546,0.22475400567054749
20261009,0.05,20,380,82.78124931827188,1.0,1,146,572,0.885121052631579,0.8263157894736842,1.0,1.0,1.0,1.0,118,128,141,0.35374149659863946,0.6785714285714286,0.26052631578947366,0,,1.0,0.7616553902626038,0.7782805562019348,0.7782805562019348,0.2840106785297394
20261010,0.05,20,380,82.79374908655882,1.0,1,147,576,0.8882947368421052,0.8421052631578947,1.0,1.0,1.0,1.0,110,124,132,0.3581081081081081,0.7432432432432432,0.23684210526315788,0,,1.0,0.761655330657959,0.729468584060669,0.729468584060669,0.2583649158477783
20261011,0.05,20,380,83.36874909698963,1.0,1,154,610,0.8805631578947368,0.8078947368421052,1.0,1.0,1.0,1.0,116,141,151,0.3870967741935484,0.75,0.39473684210526316,0,,1.0,0.761655330657959,0.7756097316741943,0.7756097316741943,0.2711046040058136
