seed,obstacle_ratio,obstacles,free_cells,total_reward,coverage_ratio,completed,steps,path_length,coverage_auc,coverage_at_100,coverage_at_200,coverage_at_300,coverage_at_400,coverage_at_500,t90,t95,t99,repeat_ratio,repeat_ratio_after_90,inter_agent_overlap_ratio,stalled,stall_coverage,stall_termination_coverage,cir_beta,intent_conflict_rate,intent_conflict_nonzero,attention_entropy
20261001,0.05,20,380,77.49374935403466,1.0,1,223,888,0.8804421052631579,0.8421052631578947,0.9868421052631579,1.0,1.0,1.0,115,169,209,0.5758928571428571,0.9120370370370371,0.49473684210526314,0,,1.0,0.0,0.8279221057891846,0.8279221057891846,0.11457628756761551
20261002,0.05,20,380,-387.14374662935734,0.9263157894736842,0,500,500,0.5777473684210527,0.2657894736842105,0.49473684210526314,0.7289473684210527,0.9210526315789473,0.9263157894736842,382,,,0.8243512974051896,0.9788135593220338,0.002840909090909091,1,0.9263157894736842,0.9263157894736842,0.0,1.0,1.0,0.8306025266647339
20261003,0.05,20,380,84.83124926313758,1.0,1,144,572,0.8900473684210526,0.8552631578947368,1.0,1.0,1.0,1.0,107,120,136,0.3448275862068966,0.7567567567567568,0.3026315789473684,0,,1.0,0.0,0.7384615540504456,0.7384615540504456,0.09030944108963013
20261004,0.05,20,380,61.293749164789915,1.0,1,169,600,0.8854052631578948,0.8578947368421053,1.0,1.0,1.0,1.0,110,128,149,0.4411764705882353,0.8389830508474576,0.2868421052631579,0,,1.0,0.0,0.819727897644043,0.819727897644043,0.1677977591753006
20261005,0.05,20,380,85.2812488116324,1.0,1,144,572,0.8895631578947368,0.8763157894736842,1.0,1.0,1.0,1.0,105,114,131,0.3448275862068966,0.7692307692307693,0.32105263157894737,0,,1.0,0.0,0.7209302186965942,0.7209302186965942,0.13524429500102997
20261006,0.05,20,380,78.78124936076347,1.0,1,173,688,0.8760684210526315,0.7631578947368421,1.0,1.0,1.0,1.0,133,149,170,0.4540229885057471,0.7625,0.4789473684210526,0,,1.0,0.0,0.7297297120094299,0.7297297120094299,0.084532730281353
20261007,0.05,20,380,86.28124910593033,1.0,1,152,604,0.894421052631579,0.9,1.0,1.0,1.0,1.0,100,117,133,0.3790849673202614,0.8173076923076923,0.3394736842105263,0,,1.0,0.0,0.8552631735801697,0.8552631735801697,0.1395423412322998
20261008,0.05,20,380,82.25624944083393,1.0,1,156,616,0.8797631578947369,0.7947368421052632,1.0,1.0,1.0,1.0,122,131,153,0.39490445859872614,0.7205882352941176,0.3394736842105263,0,,1.0,0.0,0.7631579041481018,0.7631579041481018,0.10830503702163696
20261009,0.05,20,380,74.25624926388264,1.0,1,172,664,0.8833631578947367,0.8026315789473685,1.0,1.0,1.0,1.0,119,125,164,0.4508670520231214,0.8207547169811321,0.46578947368421053,0,,1.0,0.0,0.8705357313156128,0.8705357313156128,0.12378009408712387
20261010,0.05,20,380,86.23124890774488,1.0,1,139,552,0.8912842105263158,0.8605263157894737,1.0,1.0,1.0,1.0,108,116,133,0.32142857142857145,0.7096774193548387,0.29210526315789476,0,,1.0,0.0,0.857758641242981,0.857758641242981,0.14164502918720245
20261011,0.05,20,380,83.29374903440475,1.0,1,174,692,0.8918947368421053,0.881578947368421,1.0,1.0,1.0,1.0,108,125,155,0.45714285714285713,0.8560606060606061,0.4131578947368421,0,,1.0,0.0,0.739130437374115,0.739130437374115,0.11480836570262909
20261012,0.05,20,380,76.80624888464808,1.0,1,170,654,0.8880947368421053,0.8657894736842106,1.0,1.0,1.0,1.0,107,119,164,0.4444444444444444,0.8531746031746031,0.31842105263157894,0,,1.0,0.0,0.9192546606063843,0.9192546606063843,0.14774927496910095
20261013,0.05,20,380,79.35624939575791,1.0,1,174,692,0.8690631578947369,0.718421052631579,1.0,1.0,1.0,1.0,144,152,167,0.45714285714285713,0.6833333333333333,0.5552631578947368,0,,1.0,0.0,0.7659574747085571,0.7659574747085571,0.08312413841485977
20261014,0.05,20,380,-89.7437493801117,1.0,1,282,564,0.7585052631578947,0.4842105263157895,0.7631578947368421,1.0,1.0,1.0,242,262,277,0.6643109540636042,0.7625,0.25263157894736843,0,,1.0,0.0,0.9664082527160645,0.9664082527160645,0.3676223158836365
20261015,0.05,20,380,88.51874911040068,1.0,1,124,492,0.8913736842105263,0.881578947368421,1.0,1.0,1.0,1.0,103,113,122,0.24,0.5714285714285714,0.14736842105263157,0,,1.0,0.0,0.7295597195625305,0.7295597195625305,0.12322211265563965
20261016,0.05,20,380,84.30624905973673,1.0,1,141,554,0.892,0.8973684210526316,1.0,1.0,1.0,1.0,101,116,134,0.33098591549295775,0.76875,0.2657894736842105,0,,1.0,0.0,0.8009950518608093,0.8009950518608093,0.13592883944511414
20261017,0.05,20,380,66.7187493853271,1.0,1,165,596,0.8563894736842106,0.7105263157894737,1.0,1.0,1.0,1.0,129,136,154,0.42771084337349397,0.7361111111111112,0.35526315789473684,0,,1.0,0.0,0.7647058963775635,0.7647058963775635,0.10486207157373428
20261018,0.05,20,380,83.78124906122684,1.0,1,146,570,0.8930842105263157,0.9,1.0,1.0,1.0,1.0,100,106,139,0.35374149659863946,0.7934782608695652,0.28157894736842104,0,,1.0,0.0,0.718367338180542,0.718367338180542,0.16844509541988373
20261019,0.05,20,380,86.76874905824661,1.0,1,137,544,0.893921052631579,0.8789473684210526,1.0,1.0,1.0,1.0,104,116,133,0.3115942028985507,0.7121212121212122,0.26052631578947366,0,,1.0,0.0,0.6809815764427185,0.6809815764427185,0.07422301173210144
20261020,0.05,20,380,85.3437490016222,1.0,1,149,592,0.8901736842105263,0.8210526315789474,1.0,1.0,1.0,1.0,109,122,139,0.36666666666666664,0.775,0.23421052631578948,0,,1.0,0.0,0.75,0.75,0.15065914392471313
