seed,obstacle_ratio,obstacles,free_cells,total_reward,coverage_ratio,completed,steps,path_length,coverage_auc,coverage_at_100,coverage_at_200,coverage_at_300,coverage_at_400,coverage_at_500,t90,t95,t99,repeat_ratio,repeat_ratio_after_90,inter_agent_overlap_ratio,stalled,stall_coverage,stall_termination_coverage,cir_beta,intent_conflict_rate,intent_conflict_nonzero,attention_entropy
20261001,0.05,20,380,77.49374935403466,1.0,1,223,888,0.8804421052631579,0.8421052631578947,0.9868421052631579,1.0,1.0,1.0,115,169,209,0.5758928571428571,0.9120370370370371,0.49473684210526314,0,,1.0,0.12824273109436035,0.8279221057891846,0.8279221057891846,0.1142585277557373
20261002,0.05,20,380,-387.14374662935734,0.9263157894736842,0,500,500,0.5777473684210527,0.2657894736842105,0.49473684210526314,0.7289473684210527,0.9210526315789473,0.9263157894736842,382,,,0.8243512974051896,0.9788135593220338,0.002840909090909091,1,0.9263157894736842,0.9263157894736842,0.12824273109436035,1.0,1.0,0.8293643593788147
20261003,0.05,20,380,84.83124926313758,1.0,1,144,572,0.8900473684210526,0.8552631578947368,1.0,1.0,1.0,1.0,107,120,136,0.3448275862068966,0.7567567567567568,0.3026315789473684,0,,1.0,0.12824274599552155,0.7384615540504456,0.7384615540504456,0.09031523764133453
20261004,0.05,20,380,61.293749164789915,1.0,1,169,600,0.8854052631578948,0.8578947368421053,1.0,1.0,1.0,1.0,110,128,149,0.4411764705882353,0.8389830508474576,0.2868421052631579,0,,1.0,0.12824274599552155,0.819727897644043,0.819727897644043,0.1679236739873886
20261005,0.05,20,380,81.6812492676545,1.0,1,180,716,0.8890578947368422,0.8736842105263158,1.0,1.0,1.0,1.0,107,121,136,0.47513812154696133,0.8732876712328768,0.41578947368421054,0,,1.0,0.12824273109436035,0.7662721872329712,0.7662721872329712,0.17332249879837036
20261006,0.05,20,380,78.78124936076347,1.0,1,173,688,0.8760684210526315,0.7631578947368421,1.0,1.0,1.0,1.0,133,149,170,0.4540229885057471,0.7625,0.4789473684210526,0,,1.0,0.12824273109436035,0.7297297120094299,0.7297297120094299,0.08442244678735733
20261007,0.05,20,380,83.11874928418547,1.0,1,178,708,0.8902631578947369,0.8631578947368421,1.0,1.0,1.0,1.0,109,122,137,0.4692737430167598,0.8623188405797102,0.46842105263157896,0,,1.0,0.12824274599552155,0.8362369537353516,0.8362369537353516,0.1644316017627716
20261008,0.05,20,380,82.25624944083393,1.0,1,156,616,0.8797631578947369,0.7947368421052632,1.0,1.0,1.0,1.0,122,131,153,0.39490445859872614,0.7205882352941176,0.3394736842105263,0,,1.0,0.12824273109436035,0.7631579041481018,0.7631579041481018,0.10823877900838852
20261009,0.05,20,380,74.25624926388264,1.0,1,172,664,0.8833631578947367,0.8026315789473685,1.0,1.0,1.0,1.0,119,125,164,0.4508670520231214,0.8207547169811321,0.46578947368421053,0,,1.0,0.12824273109436035,0.8705357313156128,0.8705357313156128,0.12377545237541199
20261010,0.05,20,380,82.10624893382192,1.0,1,169,672,0.8896526315789475,0.8473684210526315,1.0,1.0,1.0,1.0,112,117,146,0.4411764705882353,0.8421052631578947,0.3868421052631579,0,,1.0,0.12824274599552155,0.7492063641548157,0.7492063641548157,0.17723742127418518
20261011,0.05,20,380,83.29374903440475,1.0,1,174,692,0.8918947368421053,0.881578947368421,1.0,1.0,1.0,1.0,108,125,155,0.45714285714285713,0.8560606060606061,0.4131578947368421,0,,1.0,0.12824273109436035,0.739130437374115,0.739130437374115,0.11471562087535858
20261012,0.05,20,380,76.80624888464808,1.0,1,170,654,0.8880947368421053,0.8657894736842106,1.0,1.0,1.0,1.0,107,119,164,0.4444444444444444,0.8531746031746031,0.31842105263157894,0,,1.0,0.12824274599552155,0.9192546606063843,0.9192546606063843,0.14772547781467438
20261013,0.05,20,380,79.35624939575791,1.0,1,174,692,0.8690631578947369,0.718421052631579,1.0,1.0,1.0,1.0,144,152,167,0.45714285714285713,0.6833333333333333,0.5552631578947368,0,,1.0,0.12824273109436035,0.7659574747085571,0.7659574747085571,0.08311215788125992
20261014,0.05,20,380,-89.7437493801117,1.0,1,282,564,0.7585052631578947,0.4842105263157895,0.7631578947368421,1.0,1.0,1.0,242,262,277,0.6643109540636042,0.7625,0.25263157894736843,0,,1.0,0.12824273109436035,0.9664082527160645,0.9664082527160645,0.3666486144065857
20261015,0.05,20,380,79.86874930560589,1.0,1,159,618,0.8819368421052631,0.8052631578947368,1.0,1.0,1.0,1.0,123,133,150,0.40625,0.7569444444444444,0.3763157894736842,0,,1.0,0.12824273109436035,0.7276995182037354,0.7276995182037354,0.11862388998270035
20261016,0.05,20,380,84.30624905973673,1.0,1,141,554,0.892,0.8973684210526316,1.0,1.0,1.0,1.0,101,116,134,0.33098591549295775,0.76875,0.2657894736842105,0,,1.0,0.12824273109436035,0.8009950518608093,0.8009950518608093,0.13568417727947235
20261017,0.05,20,380,66.7187493853271,1.0,1,165,596,0.8563894736842106,0.7105263157894737,1.0,1.0,1.0,1.0,129,136,154,0.42771084337349397,0.7361111111111112,0.35526315789473684,0,,1.0,0.12824273109436035,0.7647058963775635,0.7647058963775635,0.10478603839874268
20261018,0.05,20,380,83.78124906122684,1.0,1,146,570,0.8930842105263157,0.9,1.0,1.0,1.0,1.0,100,106,139,0.35374149659863946,0.7934782608695652,0.28157894736842104,0,,1.0,0.12824274599552155,0.718367338180542,0.718367338180542,0.16842319071292877
20261019,0.05,20,380,86.76874905824661,1.0,1,137,544,0.893921052631579,0.8789473684210526,1.0,1.0,1.0,1.0,104,116,133,0.3115942028985507,0.7121212121212122,0.26052631578947366,0,,1.0,0.12824274599552155,0.6809815764427185,0.6809815764427185,0.07420220971107483
20261020,0.05,20,380,85.3437490016222,1.0,1,149,592,0.8901736842105263,0.8210526315789474,1.0,1.0,1.0,1.0,109,122,139,0.36666666666666664,0.775,0.23421052631578948,0,,1.0,0.12824273109436035,0.75,0.75,0.15075905621051788
