step,GAT-OFF_coverage_mean,GAT-OFF_coverage_std,GAT-OFF_repeat_mean,GAT-OFF_repeat_std,GAT-ON_coverage_mean,GAT-ON_coverage_std,GAT-ON_repeat_mean,GAT-ON_repeat_std,GAT-CIR_coverage_mean,GAT-CIR_coverage_std,GAT-CIR_repeat_mean,GAT-CIR_repeat_std
0,0.0026315789473684214,4.336808689942018e-19,0.75,0.0,0.0026315789473684214,4.336808689942018e-19,0.75,0.0,0.0026315789473684214,4.336808689942018e-19,0.75,0.0
1,0.007763157894736842,0.0005735393346764045,0.63125,0.027243118397129208,0.007763157894736842,0.0005735393346764045,0.63125,0.027243118397129208,0.007763157894736842,0.0005735393346764045,0.63125,0.027243118397129208
2,0.012763157894736837,0.0012551831597591386,0.5958333333333334,0.03974746672570605,0.012763157894736837,0.0012551831597591386,0.5958333333333334,0.03974746672570605,0.012763157894736837,0.0012551831597591386,0.5958333333333334,0.03974746672570605
3,0.017763157894736842,0.0020170670679941958,0.578125,0.047905342864862165,0.017763157894736842,0.0020170670679941958,0.578125,0.047905342864862165,0.017763157894736842,0.0020170670679941958,0.578125,0.047905342864862165
4,0.024868421052631578,0.0035769150576495223,0.5275000000000001,0.06796138609534093,0.024999999999999994,0.003579334344404063,0.525,0.06800735254367721,0.024999999999999994,0.003579334344404063,0.525,0.06800735254367721
5,0.031973684210526314,0.0052152424164753726,0.4937500000000001,0.0825746715941934,0.034605263157894736,0.00553726984539495,0.4520833333333333,0.08767343921875337,0.034473684210526316,0.005513770220988673,0.4541666666666666,0.08730136183232066
6,0.03960526315789474,0.006936344922682738,0.4625,0.09413610966498001,0.044342105263157905,0.007548320794349194,0.3982142857142857,0.10244149649473905,0.044210526315789485,0.0075172930826766845,0.39999999999999997,0.10202040612204072
7,0.048815789473684215,0.009209586418209008,0.4203125,0.10936383871623197,0.054210526315789466,0.009539246821258873,0.35625,0.11327855600244911,0.054078947368421046,0.00950561140587211,0.3578125,0.11287913544473134
8,0.05815789473684211,0.011527997954636583,0.38611111111111107,0.12168442285449727,0.06407894736842104,0.011539256134299299,0.3236111111111111,0.12180325919538149,0.06381578947368421,0.011467012787621203,0.3263888888888889,0.12104069053600156
9,0.06776315789473684,0.013543686368312479,0.35625,0.12866502049896855,0.07394736842105264,0.013544325507850284,0.2975,0.1286710923245777,0.07355263157894737,0.013456480587660883,0.30124999999999996,0.12783656558277837
10,0.07736842105263159,0.015577524828367096,0.33181818181818173,0.13453316897226128,0.08381578947368422,0.015552497995686004,0.2761363636363637,0.13431702814456095,0.08342105263157897,0.015459266466025808,0.2795454545454546,0.13351184675204106
11,0.08697368421052633,0.0176232305451539,0.31145833333333334,0.13951724181580172,0.0936842105263158,0.01756270917206693,0.2583333333333333,0.1390381142788632,0.09328947368421055,0.01746533963719742,0.2614583333333333,0.1382672721278129
