seed,obstacle_ratio,obstacles,free_cells,total_reward,coverage_ratio,completed,steps,path_length,coverage_auc,coverage_at_100,coverage_at_200,coverage_at_300,coverage_at_400,coverage_at_500,t90,t95,t99,repeat_ratio,repeat_ratio_after_90,inter_agent_overlap_ratio,stalled,stall_coverage,stall_termination_coverage
20261001,0.05,20,380,84.48124925419688,1.0,1,152,604,0.8775894736842106,0.7605263157894737,1.0,1.0,1.0,1.0,122,128,137,0.3790849673202614,0.6833333333333333,0.3447368421052632,0,,1.0
20261002,0.05,20,380,-380.0468709021807,0.9973684210526316,0,500,500,0.5804105263157894,0.2578947368421053,0.48947368421052634,0.7342105263157894,0.881578947368421,0.9973684210526316,407,441,476,0.8108782435129741,0.9005376344086021,0.002638522427440633,0,,0.9973684210526316
20261003,0.05,20,380,84.5187490992248,1.0,1,148,584,0.8865631578947368,0.8657894736842106,1.0,1.0,1.0,1.0,117,134,146,0.3624161073825503,0.6935483870967742,0.2631578947368421,0,,1.0
20261004,0.05,20,380,86.45624911412597,1.0,1,148,588,0.8836157894736842,0.8236842105263158,1.0,1.0,1.0,1.0,115,128,146,0.3624161073825503,0.7121212121212122,0.2894736842105263,0,,1.0
20261005,0.05,20,380,83.58124896883965,1.0,1,170,676,0.8883631578947367,0.8631578947368421,1.0,1.0,1.0,1.0,116,135,159,0.4444444444444444,0.8287037037037037,0.3263157894736842,0,,1.0
20261006,0.05,20,380,82.15624937415123,1.0,1,175,692,0.8877947368421053,0.8578947368421053,1.0,1.0,1.0,1.0,109,124,150,0.4602272727272727,0.8560606060606061,0.35,0,,1.0
20261007,0.05,20,380,84.06874937191606,1.0,1,164,652,0.8879157894736842,0.8710526315789474,1.0,1.0,1.0,1.0,104,126,161,0.42424242424242425,0.8458333333333333,0.4131578947368421,0,,1.0
20261008,0.05,20,380,80.51874950528145,1.0,1,171,674,0.8854526315789474,0.8184210526315789,1.0,1.0,1.0,1.0,113,121,138,0.4476744186046512,0.8362068965517241,0.42105263157894735,0,,1.0
20261009,0.05,20,380,82.46874921768904,1.0,1,173,684,0.8759842105263158,0.7394736842105263,1.0,1.0,1.0,1.0,131,140,169,0.4540229885057471,0.7857142857142857,0.35,0,,1.0
20261010,0.05,20,380,85.55624932050705,1.0,1,148,588,0.8851263157894736,0.8263157894736842,1.0,1.0,1.0,1.0,114,125,145,0.3624161073825503,0.7352941176470589,0.35789473684210527,0,,1.0
20261011,0.05,20,380,80.29374935477972,1.0,1,157,610,0.8837842105263157,0.8105263157894737,1.0,1.0,1.0,1.0,121,131,141,0.3987341772151899,0.7430555555555556,0.37105263157894736,0,,1.0
20261012,0.05,20,380,84.40624960511923,1.0,1,155,616,0.8805263157894736,0.7973684210526316,1.0,1.0,1.0,1.0,123,131,142,0.391025641025641,0.7109375,0.33157894736842103,0,,1.0
20261013,0.05,20,380,84.33124925196171,1.0,1,158,628,0.8814105263157894,0.7973684210526316,1.0,1.0,1.0,1.0,128,140,155,0.4025157232704403,0.6916666666666667,0.35,0,,1.0
20261014,0.05,20,380,-97.50624996423721,1.0,1,295,590,0.7757473684210526,0.45,0.8578947368421053,1.0,1.0,1.0,213,249,277,0.6790540540540541,0.8841463414634146,0.28157894736842104,0,,1.0
20261015,0.05,20,380,86.1812490299344,1.0,1,153,608,0.8862052631578947,0.8473684210526315,1.0,1.0,1.0,1.0,109,122,148,0.38311688311688313,0.7840909090909091,0.32105263157894737,0,,1.0
20261016,0.05,20,380,85.81874921917915,1.0,1,151,600,0.8899947368421052,0.8552631578947368,1.0,1.0,1.0,1.0,112,137,146,0.375,0.7564102564102564,0.3868421052631579,0,,1.0
20261017,0.05,20,380,79.63124956935644,1.0,1,205,816,0.8772421052631579,0.8131578947368421,0.9947368421052631,1.0,1.0,1.0,131,146,162,0.5388349514563107,0.875,0.5210526315789473,0,,1.0
20261018,0.05,20,380,80.05624942481518,1.0,1,185,736,0.875378947368421,0.7526315789473684,1.0,1.0,1.0,1.0,118,138,174,0.489247311827957,0.8582089552238806,0.45,0,,1.0
20261019,0.05,20,380,78.74374917149544,1.0,1,179,712,0.8815526315789474,0.7894736842105263,1.0,1.0,1.0,1.0,117,127,174,0.4722222222222222,0.8508064516129032,0.45526315789473687,0,,1.0
20261020,0.05,20,380,83.98124931752682,1.0,1,148,588,0.8863842105263159,0.8210526315789474,1.0,1.0,1.0,1.0,112,122,143,0.3624161073825503,0.75,0.3131578947368421,0,,1.0
