seed,obstacle_ratio,obstacles,free_cells,total_reward,coverage_ratio,completed,steps,path_length,coverage_auc,coverage_at_100,coverage_at_200,coverage_at_300,coverage_at_400,coverage_at_500,t90,t95,t99,repeat_ratio,repeat_ratio_after_90,inter_agent_overlap_ratio,stalled,stall_coverage,stall_termination_coverage
20261001,0.05,20,380,80.76874926686287,1.0,1,160,620,0.8869894736842104,0.8263157894736842,1.0,1.0,1.0,1.0,113,123,157,0.40993788819875776,0.8031914893617021,0.31842105263157894,0,,1.0
20261002,0.05,20,380,-385.13437183201313,0.9473684210526315,0,500,500,0.5932368421052632,0.26052631578947366,0.5131578947368421,0.7631578947368421,0.9263157894736842,0.9473684210526315,373,,,0.8203592814371258,0.9645669291338582,0.002777777777777778,1,0.9473684210526315,0.9473684210526315
20261003,0.05,20,380,81.04374895989895,1.0,1,155,600,0.8892052631578947,0.8605263157894737,1.0,1.0,1.0,1.0,107,120,140,0.391025641025641,0.8020833333333334,0.3394736842105263,0,,1.0
20261004,0.05,20,380,80.73124933615327,1.0,1,185,736,0.8837842105263157,0.8289473684210527,1.0,1.0,1.0,1.0,111,123,183,0.489247311827957,0.8716216216216216,0.45789473684210524,0,,1.0
20261005,0.05,20,380,85.04374915733933,1.0,1,143,568,0.8870263157894737,0.8289473684210527,1.0,1.0,1.0,1.0,114,130,141,0.3402777777777778,0.6724137931034483,0.29473684210526313,0,,1.0
20261006,0.05,20,380,81.28124928474426,1.0,1,184,732,0.8821631578947369,0.8473684210526315,1.0,1.0,1.0,1.0,127,138,173,0.4864864864864865,0.8333333333333334,0.3236842105263158,0,,1.0
20261007,0.05,20,380,83.16874916478992,1.0,1,182,724,0.8940526315789474,0.9078947368421053,1.0,1.0,1.0,1.0,99,116,142,0.4808743169398907,0.8855421686746988,0.46842105263157896,0,,1.0
20261008,0.05,20,380,82.69374905526638,1.0,1,155,612,0.8905947368421052,0.8631578947368421,1.0,1.0,1.0,1.0,112,122,138,0.391025641025641,0.7790697674418605,0.3026315789473684,0,,1.0
20261009,0.05,20,380,75.70624911785126,1.0,1,180,696,0.8832368421052631,0.8447368421052631,1.0,1.0,1.0,1.0,111,134,174,0.47513812154696133,0.8659420289855072,0.3868421052631579,0,,1.0
20261010,0.05,20,380,79.6312493570149,1.0,1,165,646,0.8838631578947368,0.8368421052631579,1.0,1.0,1.0,1.0,122,133,152,0.42771084337349397,0.7790697674418605,0.39210526315789473,0,,1.0
20261011,0.05,20,380,68.13124914094806,1.0,1,192,723,0.8789684210526316,0.781578947368421,1.0,1.0,1.0,1.0,125,143,189,0.5077720207253886,0.8582089552238806,0.45,0,,1.0
20261012,0.05,20,380,84.0812491774559,1.0,1,165,656,0.8876736842105263,0.8657894736842106,1.0,1.0,1.0,1.0,104,133,154,0.42771084337349397,0.8442622950819673,0.39210526315789473,0,,1.0
20261013,0.05,20,380,75.65624895691872,1.0,1,171,652,0.8897947368421053,0.8947368421052632,1.0,1.0,1.0,1.0,102,132,161,0.4476744186046512,0.8623188405797102,0.3605263157894737,0,,1.0
20261014,0.05,20,380,-82.6562497317791,1.0,1,271,542,0.7704421052631578,0.4473684210526316,0.8210526315789474,1.0,1.0,1.0,223,237,258,0.6507352941176471,0.8020833333333334,0.2657894736842105,0,,1.0
20261015,0.05,20,380,79.28124954551458,1.0,1,144,548,0.8867578947368421,0.8421052631578947,1.0,1.0,1.0,1.0,109,120,142,0.3448275862068966,0.7357142857142858,0.32894736842105265,0,,1.0
20261016,0.05,20,380,82.73124914988875,1.0,1,183,728,0.8868263157894737,0.8921052631578947,1.0,1.0,1.0,1.0,102,121,179,0.483695652173913,0.8827160493827161,0.41578947368421054,0,,1.0
20261017,0.05,20,380,83.36874928697944,1.0,1,153,608,0.8827789473684211,0.7868421052631579,1.0,1.0,1.0,1.0,117,131,144,0.38311688311688313,0.7361111111111112,0.33421052631578946,0,,1.0
20261018,0.05,20,380,-8.393750332295895,1.0,1,219,566,0.8484842105263158,0.65,0.9763157894736842,1.0,1.0,1.0,151,185,215,0.5681818181818182,0.8602941176470589,0.2789473684210526,0,,1.0
20261019,0.05,20,380,81.23124884814024,1.0,1,168,656,0.8947842105263157,0.8894736842105263,1.0,1.0,1.0,1.0,103,112,126,0.4378698224852071,0.8576923076923076,0.39210526315789473,0,,1.0
20261020,0.05,20,380,83.89374899864197,1.0,1,159,632,0.8922894736842105,0.8789473684210526,1.0,1.0,1.0,1.0,104,113,151,0.40625,0.8363636363636363,0.3763157894736842,0,,1.0
