seed,auc_winner,auc,c100_winner,coverage_at_100,repeat_winner,repeat_ratio
20261001,GAT-ON,0.8869894736842104,GAT-CUAP,0.8421052631578947,GAT-ON,0.40993788819875776
20261002,GAT-ON,0.5932368421052632,GAT-OFF,0.2657894736842105,GAT-OFF,0.8168662674650699
20261003,GAT-ON,0.8892052631578947,GAT-ON,0.8605263157894737,GAT-ON,0.391025641025641
20261004,GAT-ON,0.8837842105263157,GAT-ON,0.8289473684210527,GAT-CUAP,0.3448275862068966
20261005,GAT-ON,0.8870263157894737,GAT-ON,0.8289473684210527,GAT-ON,0.3402777777777778
20261006,GAT-CUAP,0.8865,GAT-CUAP,0.8578947368421053,GAT-ON,0.4864864864864865
20261007,GAT-ON,0.8940526315789474,GAT-ON,0.9078947368421053,GAT-ON,0.4808743169398907
20261008,GAT-ON,0.8905947368421052,GAT-ON,0.8631578947368421,GAT-CUAP,0.33098591549295775
20261009,GAT-ON,0.8832368421052631,GAT-ON,0.8447368421052631,GAT-ON,0.47513812154696133
20261010,GAT-CUAP,0.8847578947368421,GAT-ON,0.8368421052631579,GAT-CUAP,0.36666666666666664
20261011,GAT-CUAP,0.8800368421052631,GAT-CUAP,0.8,GAT-CUAP,0.4973544973544973
20261012,GAT-ON,0.8876736842105263,GAT-CUAP,0.8789473684210526,GAT-CUAP,0.3115942028985507
20261013,GAT-ON,0.8897947368421053,GAT-ON,0.8947368421052632,GAT-ON,0.4476744186046512
20261014,GAT-ON,0.7704421052631578,GAT-CUAP,0.4710526315789474,GAT-ON,0.6507352941176471
20261015,GAT-CUAP,0.8883263157894737,GAT-CUAP,0.9,GAT-ON,0.3448275862068966
20261016,GAT-CUAP,0.8907421052631579,GAT-ON,0.8921052631578947,GAT-CUAP,0.36666666666666664
20261017,GAT-ON,0.8827789473684211,GAT-ON,0.7868421052631579,GAT-ON,0.38311688311688313
20261018,GAT-CUAP,0.8853578947368421,GAT-OFF,0.8368421052631579,GAT-CUAP,0.4025157232704403
20261019,GAT-ON,0.8947842105263157,GAT-ON,0.8894736842105263,GAT-CUAP,0.3581081081081081
20261020,GAT-CUAP,0.8936052631578948,GAT-CUAP,0.8973684210526316,GAT-ON,0.40625
