seed,auc_winner,auc,c100_winner,coverage_at_100,repeat_winner,repeat_ratio
20261001,GAT-ON,0.8869894736842104,GAT-CUAP,0.8342105263157895,GAT-ON,0.40993788819875776
20261002,GAT-ON,0.5932368421052632,GAT-OFF,0.2657894736842105,GAT-CUAP,0.81187624750499
20261003,GAT-ON,0.8892052631578947,GAT-ON,0.8605263157894737,GAT-CUAP,0.38311688311688313
20261004,GAT-ON,0.8837842105263157,GAT-ON,0.8289473684210527,GAT-ON,0.489247311827957
20261005,GAT-CUAP,0.8894052631578947,GAT-CUAP,0.8631578947368421,GAT-ON,0.3402777777777778
20261006,GAT-CUAP,0.8913473684210526,GAT-CUAP,0.868421052631579,GAT-CUAP,0.3987341772151899
20261007,GAT-ON,0.8940526315789474,GAT-ON,0.9078947368421053,GAT-CUAP,0.43452380952380953
20261008,GAT-ON,0.8905947368421052,GAT-ON,0.8631578947368421,GAT-ON,0.391025641025641
20261009,GAT-ON,0.8832368421052631,GAT-ON,0.8447368421052631,GAT-CUAP,0.4378698224852071
20261010,GAT-CUAP,0.8891263157894737,GAT-CUAP,0.8394736842105263,GAT-CUAP,0.3402777777777778
20261011,GAT-CUAP,0.8909263157894736,GAT-CUAP,0.8526315789473684,GAT-CUAP,0.4411764705882353
20261012,GAT-ON,0.8876736842105263,GAT-ON,0.8657894736842106,GAT-ON,0.42771084337349397
20261013,GAT-ON,0.8897947368421053,GAT-ON,0.8947368421052632,GAT-CUAP,0.42073170731707316
20261014,GAT-ON,0.7704421052631578,GAT-CUAP,0.4921052631578947,GAT-ON,0.6507352941176471
20261015,GAT-ON,0.8867578947368421,GAT-ON,0.8421052631578947,GAT-ON,0.3448275862068966
20261016,GAT-CUAP,0.8902368421052631,GAT-ON,0.8921052631578947,GAT-CUAP,0.42073170731707316
20261017,GAT-ON,0.8827789473684211,GAT-CUAP,0.8447368421052631,GAT-ON,0.38311688311688313
20261018,GAT-CUAP,0.8876947368421052,GAT-CUAP,0.8552631578947368,GAT-CUAP,0.38311688311688313
20261019,GAT-ON,0.8947842105263157,GAT-ON,0.8894736842105263,GAT-CUAP,0.33098591549295775
20261020,GAT-ON,0.8922894736842105,GAT-ON,0.8789473684210526,GAT-CUAP,0.3493150684931507
