arm,scenario,label,category,seed,width,height,num_agents,max_steps,obstacle_ratio,obstacles,free_cells,coverage_ratio,coverage_completed,mission_completed,returned_to_depot,steps,coverage_steps,return_steps,path_length,avg_agent_path_length,global_repeat_ratio,total_reward,trajectory_json,metric_budgets,coverage_auc,coverage_at_50,coverage_at_100,coverage_at_125,coverage_at_200,coverage_at_250,coverage_at_300,coverage_at_375,coverage_at_500,t90,t95,t99,repeat_ratio,repeat_ratio_after_90,inter_agent_overlap_ratio,stall_steps,stalled,stall_coverage,stall_termination_coverage
GAT-OFF,cuap_best_seed_20260603,CUAP best prior-eval seed 20260603 (Unseen 20x20 / 4 agents / 5% obstacles),cuap-best-seed,20260603,20,20,4,500,0.05,20,380,1.0,1,1,0,231,231,0,920,230.0,0.5905172413793104,74.66874922439456,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-OFF_cuap_best_seed_20260603_seed_20260603.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8691157894736843,0.49736842105263157,0.7421052631578947,0.8447368421052631,0.9868421052631579,1.0,1.0,1.0,1.0,139,161,212,0.5905172413793104,0.8967391304347826,0.8947368421052632,50,0,,1.0
GAT-OFF,course4_native_config,Course-4 native config seed 20260431,training-native,20260431,20,20,4,500,0.05,20,380,1.0,1,1,0,166,166,0,660,165.0,0.4311377245508982,79.25624953210354,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-OFF_course4_native_config_seed_20260431.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8735894736842106,0.4368421052631579,0.7684210526315789,0.9315789473684211,1.0,1.0,1.0,1.0,1.0,120,130,149,0.4311377245508982,0.7934782608695652,0.5631578947368421,50,0,,1.0
GAT-OFF,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260440,20,20,4,500,0.05,20,380,1.0,1,1,0,166,166,0,660,165.0,0.4311377245508982,79.25624953210354,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-OFF_course4_training_obstacle_seeds_seed_20260440.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8735894736842106,0.4368421052631579,0.7684210526315789,0.9315789473684211,1.0,1.0,1.0,1.0,1.0,120,130,149,0.4311377245508982,0.7934782608695652,0.5631578947368421,50,0,,1.0
GAT-OFF,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260441,20,20,4,500,0.05,20,380,1.0,1,1,0,265,265,0,1056,264.0,0.6428571428571429,68.68124951794744,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-OFF_course4_training_obstacle_seeds_seed_20260441.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8322947368421053,0.38421052631578945,0.6368421052631579,0.7605263157894737,0.9315789473684211,0.9868421052631579,1.0,1.0,1.0,176,224,252,0.6428571428571429,0.8932584269662921,0.8473684210526315,50,0,,1.0
GAT-OFF,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260442,20,20,4,500,0.05,20,380,0.9894736842105263,0,0,0,500,500,0,1996,499.0,0.812375249500998,41.987499598413706,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-OFF_course4_training_obstacle_seeds_seed_20260442.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8419684210526316,0.45263157894736844,0.7473684210526316,0.8157894736842105,0.9315789473684211,0.9473684210526315,0.9894736842105263,0.9894736842105263,0.9894736842105263,166,269,,0.812375249500998,0.9745508982035929,0.949468085106383,50,1,0.9894736842105263,0.9894736842105263
GAT-OFF,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260443,20,20,4,500,0.05,20,380,1.0,1,1,0,251,251,0,1000,250.0,0.623015873015873,72.44374946132302,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-OFF_course4_training_obstacle_seeds_seed_20260443.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8802157894736842,0.4710526315789474,0.8263157894736842,0.9421052631578948,0.9868421052631579,0.9973684210526316,1.0,1.0,1.0,113,130,201,0.623015873015873,0.9311594202898551,0.881578947368421,50,0,,1.0
GAT-OFF,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260444,20,20,4,500,0.05,20,380,1.0,1,1,0,393,393,0,1568,392.0,0.7588832487309645,53.74374936521053,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-OFF_course4_training_obstacle_seeds_seed_20260444.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.7711894736842105,0.45,0.6210526315789474,0.6368421052631579,0.7052631578947368,0.8473684210526315,0.9236842105263158,0.9947368421052631,1.0,288,309,346,0.7588832487309645,0.9095238095238095,0.9710526315789474,50,1,0.6368421052631579,0.6368421052631579
GAT-OFF,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260445,20,20,4,500,0.05,20,380,1.0,1,1,0,446,446,0,1760,440.0,0.7874720357941835,47.30624971911311,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-OFF_course4_training_obstacle_seeds_seed_20260445.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.7988052631578947,0.4026315789473684,0.7,0.7684210526315789,0.8710526315789474,0.8789473684210526,0.8947368421052632,0.9447368421052632,1.0,318,391,409,0.7874720357941835,0.92578125,0.8394736842105263,50,0,,1.0
GAT-OFF,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260446,20,20,4,500,0.05,20,380,1.0,1,1,0,365,365,0,1456,364.0,0.7404371584699454,59.806249514222145,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-OFF_course4_training_obstacle_seeds_seed_20260446.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.847657894736842,0.45263157894736844,0.7026315789473684,0.7763157894736842,0.95,0.9868421052631579,0.9947368421052631,1.0,1.0,176,195,274,0.7404371584699454,0.9497354497354498,0.9552631578947368,50,1,0.9973684210526316,0.9973684210526316
GAT-OFF,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260447,20,20,4,500,0.05,20,380,1.0,1,1,0,288,288,0,1148,287.0,0.671280276816609,67.95624934509397,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-OFF_course4_training_obstacle_seeds_seed_20260447.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8346368421052631,0.49473684210526314,0.6921052631578948,0.7473684210526316,0.8736842105263158,0.9657894736842105,1.0,1.0,1.0,219,244,285,0.671280276816609,0.8623188405797102,0.8026315789473685,50,0,,1.0
