scenario,label,arm,seed,coverage_auc,t90,t95,coverage_at_100,coverage_at_200,coverage_at_300,repeat_ratio,repeat_ratio_after_90,global_repeat_ratio,coverage_ratio,coverage_completed,mission_completed,coverage_steps,return_steps
cuap_best_seed_20260603,CUAP best prior-eval seed 20260603 (Unseen 20x20 / 4 agents / 5% obstacles),GAT-OFF,20260603,0.8691157894736843,139,161,0.7421052631578947,0.9868421052631579,1.0,0.5905172413793104,0.8967391304347826,0.5905172413793104,1.0,1,1,231,0
course4_native_config,Course-4 native config seed 20260431,GAT-OFF,20260431,0.8735894736842106,120,130,0.7684210526315789,1.0,1.0,0.4311377245508982,0.7934782608695652,0.4311377245508982,1.0,1,1,166,0
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-OFF,20260440,0.8735894736842106,120,130,0.7684210526315789,1.0,1.0,0.4311377245508982,0.7934782608695652,0.4311377245508982,1.0,1,1,166,0
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-OFF,20260441,0.8322947368421053,176,224,0.6368421052631579,0.9315789473684211,1.0,0.6428571428571429,0.8932584269662921,0.6428571428571429,1.0,1,1,265,0
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-OFF,20260442,0.8419684210526316,166,269,0.7473684210526316,0.9315789473684211,0.9894736842105263,0.812375249500998,0.9745508982035929,0.812375249500998,0.9894736842105263,0,0,500,0
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-OFF,20260443,0.8802157894736842,113,130,0.8263157894736842,0.9868421052631579,1.0,0.623015873015873,0.9311594202898551,0.623015873015873,1.0,1,1,251,0
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-OFF,20260444,0.7711894736842105,288,309,0.6210526315789474,0.7052631578947368,0.9236842105263158,0.7588832487309645,0.9095238095238095,0.7588832487309645,1.0,1,1,393,0
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-OFF,20260445,0.7988052631578947,318,391,0.7,0.8710526315789474,0.8947368421052632,0.7874720357941835,0.92578125,0.7874720357941835,1.0,1,1,446,0
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-OFF,20260446,0.847657894736842,176,195,0.7026315789473684,0.95,0.9947368421052631,0.7404371584699454,0.9497354497354498,0.7404371584699454,1.0,1,1,365,0
course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,GAT-OFF,20260447,0.8346368421052631,219,244,0.6921052631578948,0.8736842105263158,1.0,0.671280276816609,0.8623188405797102,0.671280276816609,1.0,1,1,288,0
cuap_best_seed_20260603,CUAP best prior-eval seed 20260603 (Unseen 20x20 / 4 agents / 5% obstacles),GAT-ON,20260603,0.8779157894736842,130,169,0.8184210526315789,0.9973684210526316,1.0,0.5297029702970297,0.8661971830985915,0.5297029702970297,1.0,1,1,201,0
