arm,scenario,label,category,seed,width,height,num_agents,max_steps,obstacle_ratio,obstacles,free_cells,coverage_ratio,coverage_completed,mission_completed,returned_to_depot,steps,coverage_steps,return_steps,path_length,avg_agent_path_length,global_repeat_ratio,total_reward,trajectory_json,metric_budgets,coverage_auc,coverage_at_50,coverage_at_100,coverage_at_125,coverage_at_200,coverage_at_250,coverage_at_300,coverage_at_375,coverage_at_500,t90,t95,t99,repeat_ratio,repeat_ratio_after_90,inter_agent_overlap_ratio,stall_steps,stalled,stall_coverage,stall_termination_coverage,coverage_at_112,coverage_at_281,coverage_at_562,coverage_at_750,coverage_at_844,coverage_at_1000,coverage_at_1125
GAT-OFF,native_20x20_4a,Course-4 native 20x20 / 4 agents,course-native,20260431,20,20,4,500,0.05,20,380,1.0,1,0,0,500,166,334,760,190.0,0.810379241516966,-118.88716424256563,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_native_20x20_4a_seed_20260431.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8735894736842106,0.4368421052631579,0.7684210526315789,0.9315789473684211,1.0,1.0,1.0,1.0,1.0,120,130,149,0.810379241516966,0.975,0.6447368421052632,50,0,,1.0,,,,,,,
GAT-OFF,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20260601,20,20,4,500,0.05,20,380,0.5236842105263158,0,0,0,500,500,0,500,125.0,0.9006986027944112,-427.5328089147806,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_unseen_20x20_4a_r05_seed_20260601.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.4140842105263158,0.13421052631578947,0.24473684210526317,0.30526315789473685,0.49736842105263157,0.5236842105263158,0.5236842105263158,0.5236842105263158,0.5236842105263158,,,,0.9006986027944112,0.0,0.005025125628140704,50,1,0.5236842105263158,0.5236842105263158,,,,,,,
GAT-OFF,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20260602,20,20,4,500,0.05,20,380,1.0,1,1,1,336,293,43,1266,316.5,0.7181008902077152,77.3016443811357,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_unseen_20x20_4a_r05_seed_20260602.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8728947368421052,0.4921052631578947,0.7789473684210526,0.8552631578947368,0.9868421052631579,0.9921052631578947,1.0,1.0,1.0,141,150,222,0.7181008902077152,0.9525641025641025,0.9289473684210526,50,0,,1.0,,,,,,,
GAT-OFF,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20260603,20,20,4,500,0.05,20,380,1.0,1,0,0,500,231,269,976,244.0,0.810379241516966,-93.47071873769164,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_unseen_20x20_4a_r05_seed_20260603.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8691157894736843,0.49736842105263157,0.7421052631578947,0.8447368421052631,0.9868421052631579,1.0,1.0,1.0,1.0,139,161,212,0.810379241516966,0.9736842105263158,0.9421052631578948,50,0,,1.0,,,,,,,
GAT-OFF,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20260604,20,20,4,500,0.05,20,380,1.0,1,0,0,500,442,58,1460,365.0,0.810379241516966,-96.07072464749217,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_unseen_20x20_4a_r05_seed_20260604.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.7832736842105263,0.4026315789473684,0.6289473684210526,0.7131578947368421,0.8710526315789474,0.8763157894736842,0.8789473684210526,0.9052631578947369,1.0,373,389,431,0.810379241516966,0.9251968503937008,0.8868421052631579,50,1,0.8763157894736842,0.8763157894736842,,,,,,,
GAT-OFF,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20260605,20,20,4,500,0.05,20,380,1.0,1,0,0,500,381,119,1684,421.0,0.810379241516966,51.759538892656565,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_unseen_20x20_4a_r05_seed_20260605.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8594263157894736,0.4921052631578947,0.7342105263157894,0.8131578947368421,0.9605263157894737,0.9894736842105263,0.9894736842105263,0.9973684210526316,1.0,160,183,307,0.810379241516966,0.9720588235294118,0.9921052631578947,50,1,0.9894736842105263,0.9894736842105263,,,,,,,
GAT-OFF,stress_20x20_4a_r10,Obstacle stress 20x20 / 4 agents / 10%,obstacle-stress,20260611,20,20,4,500,0.1,40,360,0.8305555555555556,0,0,0,500,500,0,500,125.0,0.8507984031936128,-401.0499968081713,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_stress_20x20_4a_r10_seed_20260611.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.5619722222222223,0.1361111111111111,0.2722222222222222,0.3388888888888889,0.5388888888888889,0.6222222222222222,0.7305555555555555,0.8305555555555556,0.8305555555555556,,,,0.8507984031936128,0.0,0.0033444816053511705,50,1,0.8305555555555556,0.8305555555555556,,,,,,,
GAT-OFF,stress_20x20_4a_r10,Obstacle stress 20x20 / 4 agents / 10%,obstacle-stress,20260612,20,20,4,500,0.1,40,360,1.0,1,0,0,500,475,25,1974,493.5,0.8203592814371258,41.426644176244736,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_stress_20x20_4a_r10_seed_20260612.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8728333333333333,0.5027777777777778,0.8416666666666667,0.9138888888888889,0.9694444444444444,0.9722222222222222,0.9861111111111112,0.9916666666666667,1.0,115,153,321,0.8203592814371258,0.9766233766233766,0.9888888888888889,50,1,0.9916666666666667,0.9916666666666667,,,,,,,
GAT-OFF,stress_20x20_4a_r10,Obstacle stress 20x20 / 4 agents / 10%,obstacle-stress,20260613,20,20,4,500,0.1,40,360,0.008333333333333333,0,0,0,500,500,0,2,0.5,0.9985029940119761,-323.90311309695244,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_stress_20x20_4a_r10_seed_20260613.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.008333333333333331,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,,,,0.9985029940119761,0.0,0.3333333333333333,50,1,0.008333333333333333,0.008333333333333333,,,,,,,
GAT-OFF,stress_20x20_4a_r15,Obstacle stress 20x20 / 4 agents / 15%,obstacle-stress,20260621,20,20,4,500,0.15,60,340,0.6647058823529411,0,0,0,500,500,0,500,125.0,0.8872255489021956,-420.6765610277653,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_stress_20x20_4a_r15_seed_20260621.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.4768117647058824,0.1323529411764706,0.2647058823529412,0.2911764705882353,0.47941176470588237,0.5735294117647058,0.6323529411764706,0.6647058823529411,0.6647058823529411,,,,0.8872255489021956,0.0,0.004424778761061947,50,1,0.6647058823529411,0.6647058823529411,,,,,,,
