arm,scenario,label,category,width,height,num_agents,max_steps,obstacle_ratio,episodes,coverage_ratio_mean,coverage_ratio_std,coverage_auc_mean,coverage_auc_std,coverage_completed_mean,coverage_completed_std,mission_completed_mean,mission_completed_std,returned_to_depot_mean,returned_to_depot_std,steps_mean,steps_std,coverage_steps_mean,coverage_steps_std,return_steps_mean,return_steps_std,path_length_mean,path_length_std,avg_agent_path_length_mean,avg_agent_path_length_std,global_repeat_ratio_mean,global_repeat_ratio_std,repeat_ratio_mean,repeat_ratio_std,repeat_ratio_after_90_mean,repeat_ratio_after_90_std,inter_agent_overlap_ratio_mean,inter_agent_overlap_ratio_std,stalled_mean,stalled_std,stall_termination_coverage_mean,stall_termination_coverage_std,total_reward_mean,total_reward_std,t90_reach_rate,t90_mean_reached,t95_reach_rate,t95_mean_reached,t99_reach_rate,t99_mean_reached,coverage_at_100_mean,coverage_at_125_mean,coverage_at_200_mean,coverage_at_250_mean,coverage_at_300_mean,coverage_at_375_mean,coverage_at_50_mean,coverage_at_500_mean,coverage_at_1000_mean,coverage_at_112_mean,coverage_at_1125_mean,coverage_at_281_mean,coverage_at_562_mean,coverage_at_750_mean,coverage_at_844_mean
GAT-OFF,native_20x20_4a,Course-4 native 20x20 / 4 agents,course-native,20,20,4,500,0.05,1,1.0,0.0,0.8735894736842106,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,166.0,0.0,334.0,0.0,760.0,0.0,190.0,0.0,0.810379241516966,0.0,0.810379241516966,0.0,0.975,0.0,0.6447368421052632,0.0,0.0,0.0,1.0,0.0,-118.88716424256563,0.0,1.0,120.0,1.0,130.0,1.0,149.0,0.7684210526315789,0.9315789473684211,1.0,1.0,1.0,1.0,0.4368421052631579,1.0,,,,,,,
GAT-ON,native_20x20_4a,Course-4 native 20x20 / 4 agents,course-native,20,20,4,500,0.05,1,1.0,0.0,0.8944736842105262,0.0,1.0,0.0,1.0,0.0,1.0,0.0,148.0,0.0,123.0,0.0,25.0,0.0,552.0,0.0,138.0,0.0,0.3624161073825503,0.0,0.3624161073825503,0.0,0.8137254901960784,0.0,0.22631578947368422,0.0,0.0,0.0,1.0,0.0,127.03388089500368,0.0,1.0,97.0,1.0,106.0,1.0,120.0,0.9236842105263158,1.0,1.0,1.0,1.0,1.0,0.4868421052631579,1.0,,,,,,,
GAT-CUAP,native_20x20_4a,Course-4 native 20x20 / 4 agents,course-native,20,20,4,500,0.05,1,1.0,0.0,0.8917894736842105,0.0,1.0,0.0,1.0,0.0,1.0,0.0,166.0,0.0,130.0,0.0,36.0,0.0,632.0,0.0,158.0,0.0,0.4311377245508982,0.0,0.4311377245508982,0.0,0.8348214285714286,0.0,0.41842105263157897,0.0,0.0,0.0,1.0,0.0,126.5592756960541,0.0,1.0,110.0,1.0,116.0,1.0,126.0,0.8631578947368421,0.9868421052631579,1.0,1.0,1.0,1.0,0.48157894736842105,1.0,,,,,,,
GAT-OFF,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20,20,4,500,0.05,5,0.9047368421052632,0.19052631578947374,0.759758947368421,0.17591826320348847,0.8,0.4000000000000001,0.2,0.4000000000000001,0.2,0.4000000000000001,467.2,65.6,369.4,97.41991582833562,97.8,93.71317943597901,1177.2,410.8013631915065,294.3,102.70034079787662,0.8099874435106049,0.057744460536973116,0.8099874435106049,0.057744460536973116,0.7647007974027062,0.38275065825159427,0.7510050251256282,0.3744996197827823,0.6,0.48989794855663565,0.8778947368421053,0.18315940713229187,-97.60261380523443,179.87434785234748,0.8,203.25,0.8,220.75,0.8,293.0,0.6257894736842105,0.7063157894736841,0.8605263157894736,0.8763157894736843,0.8784210526315789,0.8852631578947369,0.4036842105263158,0.9047368421052632,,,,,,,
GAT-ON,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20,20,4,500,0.05,5,0.9936842105263157,0.012631578947368417,0.825522105263158,0.11876507211071191,0.8,0.4000000000000001,0.6,0.48989794855663565,0.6,0.48989794855663565,346.4,127.54544288213516,241.4,130.66384350691663,105.0,130.67057817274704,809.2,167.9266506543854,202.3,41.98166266359635,0.6894197876228807,0.10697334579853578,0.6894197876228807,0.10697334579853578,0.9369038322225984,0.02665699387883811,0.4121224256292906,0.21819916765500932,0.2,0.4000000000000001,0.9936842105263157,0.012631578947368417,11.449210481531917,197.63336710889308,1.0,167.2,1.0,194.6,0.8,155.0,0.7252631578947368,0.8157894736842104,0.9010526315789473,0.9278947368421052,0.9442105263157895,0.9778947368421053,0.41789473684210526,0.9936842105263157,,,,,,,
GAT-CUAP,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20,20,4,500,0.05,5,0.9410526315789474,0.11789473684210527,0.8102968421052632,0.15189426416383395,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,251.6,124.86408610965765,227.2,137.31627725801482,24.4,14.065560778013793,666.8,107.26117657381911,166.7,26.81529414345478,0.5720701336047058,0.1507783304110252,0.5720701336047058,0.1507783304110252,0.6979184704184704,0.3503953352231662,0.3828515318146112,0.20858528611030563,0.2,0.4000000000000001,0.9410526315789474,0.11789473684210527,16.0651905734092,212.7253206569045,0.8,113.25,0.8,124.5,0.8,142.25,0.7336842105263158,0.8194736842105262,0.8989473684210527,0.9210526315789472,0.9394736842105263,0.9410526315789474,0.4005263157894737,0.9410526315789474,,,,,,,
GAT-OFF,stress_20x20_4a_r10,Obstacle stress 20x20 / 4 agents / 10%,obstacle-stress,20,20,4,500,0.1,3,0.612962962962963,0.43309783090953713,0.4810462962962963,0.3575395704116551,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,500.0,0.0,491.6666666666667,11.785113019775793,8.333333333333334,11.785113019775793,825.3333333333334,837.2882153449644,206.33333333333334,209.3220538362411,0.889886892880905,0.07780200555261145,0.889886892880905,0.07780200555261145,0.3255411255411255,0.46038467485046214,0.44185556794252445,0.4095991953405135,1.0,0.0,0.6101851851851853,0.4306262387221598,-227.84215524295965,192.98907598114263,0.3333333333333333,115.0,0.3333333333333333,153.0,0.3333333333333333,321.0,0.37407407407407406,0.42037037037037034,0.5055555555555555,0.5342592592592593,0.5750000000000001,0.6101851851851853,0.2157407407407407,0.612962962962963,,,,,,,
GAT-ON,stress_20x20_4a_r10,Obstacle stress 20x20 / 4 agents / 10%,obstacle-stress,20,20,4,500,0.1,3,0.5407407407407407,0.40813697302708896,0.4541314814814814,0.35532395762575003,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,425.3333333333333,105.59461265719109,412.6666666666667,123.50798444725031,12.666666666666666,17.913371790059205,486.0,389.59466115438494,121.5,97.39866528859623,0.8544379352005976,0.134369138222289,0.8544379352005976,0.134369138222289,0.31306306306306303,0.44273802966184733,0.3079897771074242,0.23810691707174114,0.6666666666666666,0.4714045207910317,0.5407407407407407,0.40813697302708896,-223.04505043818304,215.3255074452316,0.3333333333333333,128.0,0.3333333333333333,140.0,0.3333333333333333,208.0,0.362962962962963,0.412962962962963,0.5037037037037037,0.5388888888888889,0.5407407407407407,0.5407407407407407,0.21851851851851847,0.5407407407407407,,,,,,,
GAT-CUAP,stress_20x20_4a_r10,Obstacle stress 20x20 / 4 agents / 10%,obstacle-stress,20,20,4,500,0.1,3,0.6462962962962963,0.45199792720794013,0.496787037037037,0.3640614265634104,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,500.0,0.0,390.3333333333333,155.09208734024944,109.66666666666667,155.0920873402494,528.6666666666666,442.1895018604078,132.16666666666666,110.54737546510195,0.8838988689288091,0.0811972324325641,0.8838988689288091,0.0811972324325641,0.6511742820602255,0.46045010286957566,0.2787728026533997,0.2065407105019453,0.6666666666666666,0.4714045207910317,0.6462962962962963,0.45199792720794013,-212.85730913141742,206.81869820325346,0.6666666666666666,251.0,0.3333333333333333,132.0,0.3333333333333333,148.0,0.3574074074074074,0.42037037037037034,0.5148148148148147,0.5555555555555555,0.5888888888888889,0.6342592592592592,0.22037037037037033,0.6462962962962963,,,,,,,
GAT-OFF,stress_20x20_4a_r15,Obstacle stress 20x20 / 4 agents / 15%,obstacle-stress,20,20,4,500,0.15,3,0.8382352941176471,0.13133596212803592,0.6828725490196078,0.1494650576820447,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,1198.0,601.4670952484988,299.5,150.3667738121247,0.8577844311377246,0.022282548464836422,0.8577844311377246,0.022282548464836422,0.32590233545647557,0.4608955028116138,0.5541729200965101,0.39004717377902726,1.0,0.0,0.8382352941176471,0.13133596212803592,-210.03645785773793,180.7449021019135,0.3333333333333333,186.0,0.3333333333333333,221.0,0.0,nan,0.5264705882352941,0.5774509803921569,0.7470588235294118,0.8039215686274509,0.8274509803921569,0.8382352941176471,0.3303921568627451,0.8382352941176471,,,,,,,
GAT-ON,stress_20x20_4a_r15,Obstacle stress 20x20 / 4 agents / 15%,obstacle-stress,20,20,4,500,0.15,3,0.8774509803921569,0.09252118225414922,0.7232254901960785,0.12074522276133641,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,500.0,0.0,385.0,162.63455967290594,115.0,162.63455967290594,1053.0,668.7884568381844,263.25,167.1971142095461,0.8511310711909514,0.015697206570065243,0.8511310711909514,0.015697206570065243,0.32575757575757575,0.46069078168214467,0.1973130333045433,0.17599137356901806,0.6666666666666666,0.4714045207910317,0.8774509803921569,0.09252118225414922,-173.05619554718336,174.09796794244738,0.3333333333333333,126.0,0.3333333333333333,136.0,0.3333333333333333,153.0,0.5813725490196079,0.6549019607843137,0.7794117647058824,0.8176470588235295,0.8450980392156863,0.8774509803921569,0.37549019607843137,0.8774509803921569,,,,,,,
GAT-CUAP,stress_20x20_4a_r15,Obstacle stress 20x20 / 4 agents / 15%,obstacle-stress,20,20,4,500,0.15,3,0.9117647058823529,0.12270969858521481,0.7615941176470588,0.1512504010880514,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,500.0,0.0,422.6666666666667,109.36584882351936,77.33333333333333,109.36584882351936,1199.0,694.2319497113339,299.75,173.55798742783347,0.8453093812375249,0.020819010738010492,0.8453093812375249,0.020819010738010492,0.65224231678487,0.4612056450062985,0.3320672195825409,0.2593952696801626,1.0,0.0,0.9058823529411765,0.11869630152362114,-128.35395805972317,244.1949674334662,0.6666666666666666,124.5,0.6666666666666666,135.0,0.6666666666666666,210.5,0.6068627450980393,0.7254901960784313,0.8490196078431372,0.8931372549019608,0.9117647058823529,0.9117647058823529,0.33921568627450976,0.9117647058823529,,,,,,,
GAT-OFF,stress_20x20_4a_r20,Obstacle stress 20x20 / 4 agents / 20%,obstacle-stress,20,20,4,500,0.2,3,0.7833333333333333,0.09243287729782923,0.6405916666666666,0.0871329393700447,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,1122.6666666666667,635.9398993266232,280.6666666666667,158.9849748316558,0.8749168330006653,0.014759740885880895,0.8749168330006653,0.014759740885880895,0.3330489192263936,0.47100229850366737,0.39869953010438525,0.2883769145391147,1.0,0.0,0.7791666666666667,0.09723834191762468,-239.93645820394158,177.1338757237839,0.3333333333333333,207.0,0.0,nan,0.0,nan,0.4552083333333334,0.540625,0.7041666666666666,0.7531249999999999,0.7666666666666666,0.7833333333333333,0.32395833333333335,0.7833333333333333,,,,,,,
GAT-ON,stress_20x20_4a_r20,Obstacle stress 20x20 / 4 agents / 20%,obstacle-stress,20,20,4,500,0.2,3,0.8208333333333333,0.10091809453985723,0.7081,0.13158757342229047,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,1496.0,704.2802472501033,374.0,176.07006181252584,0.8689288090485695,0.01611466579478757,0.8689288090485695,0.01611466579478757,0.0,0.0,0.13223580795736992,0.10105750945360346,1.0,0.0,0.8208333333333333,0.10091809453985723,-125.72187521929543,209.9257635631759,0.0,nan,0.0,nan,0.0,nan,0.6135416666666667,0.7010416666666667,0.7833333333333333,0.81875,0.8208333333333333,0.8208333333333333,0.3843750000000001,0.8208333333333333,,,,,,,
GAT-CUAP,stress_20x20_4a_r20,Obstacle stress 20x20 / 4 agents / 20%,obstacle-stress,20,20,4,500,0.2,3,0.8385416666666666,0.08166294634383182,0.7083020833333333,0.11255532879402268,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,1366.0,633.1276859107227,341.5,158.28192147768067,0.8661011310711909,0.01303999143214877,0.8661011310711909,0.01303999143214877,0.3295985060690943,0.46612267742082414,0.18141362877421208,0.14429525987006267,1.0,0.0,0.8385416666666666,0.08166294634383182,-161.72656282658377,182.0522169473126,0.3333333333333333,143.0,0.3333333333333333,154.0,0.0,nan,0.6229166666666667,0.665625,0.7666666666666666,0.796875,0.8333333333333334,0.8385416666666666,0.3875,0.8385416666666666,,,,,,,
GAT-OFF,transfer_30x30_4a_r05,Transfer 30x30 / 4 agents / 5%,map-size,30,30,4,1125,0.05,3,0.9984405458089669,0.0014587358233036885,0.8694300194931773,0.005304627447067715,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,1125.0,0.0,1067.3333333333333,81.55298209684848,57.666666666666664,81.55298209684848,4145.666666666667,259.2197694792758,1036.4166666666667,64.80494236981895,0.8104647720544701,0.00027691366095131245,0.8104647720544701,0.00027691366095131245,0.9751088323863288,0.00017540449989402734,0.9777100625032912,0.023324349923619845,1.0,0.0,0.9968810916179338,0.0014587358233036885,46.69483779370785,85.30030465621964,1.0,291.3333333333333,1.0,345.0,1.0,487.3333333333333,0.39415204678362575,,0.7282651072124757,,0.9115009746588694,,,0.9847953216374269,0.9984405458089669,0.43118908382066284,0.9984405458089669,0.884990253411306,0.9953216374269006,0.9980506822612085,0.9980506822612085
